"CountryCode","SeriesCode","Year","DESCRIPTION",
"AFG","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"AFG","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"AFG","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"AFG","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition.",
"AFG","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition.",
"AFG","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition.",
"AFG","HD.HCI.HLOS","YR2017","Estimates based on data for 2016 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AFG","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2016 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AFG","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2016 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AFG","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"AFG","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"AFG","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"AFG","HD.HCI.STNT","YR2017","Estimates based on data for 2013.",
"AGO","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"AGO","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"AGO","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"AGO","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2011. Estimates are adjusted for repetition.",
"AGO","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2011. Estimates are adjusted for repetition.",
"AGO","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2011. Estimates are adjusted for repetition.",
"AGO","HD.HCI.HLOS","YR2017","Estimates based on data for 2011 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AGO","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2011 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AGO","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2011 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AGO","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"AGO","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"AGO","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"AGO","HD.HCI.STNT","YR2017","Estimates based on data for 2016.",
"AGO","HD.HCI.STNT.FE","YR2017","Estimates based on data for 2016.",
"AGO","HD.HCI.STNT.MA","YR2017","Estimates based on data for 2016.",
"ALB","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"ALB","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"ALB","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"ALB","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"ALB","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"ALB","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"ALB","HD.HCI.HLOS","YR2017","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
