location_id,location_name,sex_id,sex,year,measure_name,metric_name,mean,lower,upper
6,China,1,Males,1990,"Expected years lived, 20-64",,38.32893744,38.01093484,38.62176061
6,China,1,Males,1991,"Expected years lived, 20-64",,38.40584731,38.08742085,38.68450745
6,China,1,Males,1992,"Expected years lived, 20-64",,38.51178875,38.20630698,38.78692456
6,China,1,Males,1993,"Expected years lived, 20-64",,38.60310359,38.31581981,38.8615743
6,China,1,Males,1994,"Expected years lived, 20-64",,38.71352362,38.44020698,38.97284232
6,China,1,Males,1995,"Expected years lived, 20-64",,38.80882692,38.55235798,39.0531468
6,China,1,Males,1996,"Expected years lived, 20-64",,38.87119807,38.64891654,39.08704754
6,China,1,Males,1997,"Expected years lived, 20-64",,38.97332753,38.75641462,39.17092569
6,China,1,Males,1998,"Expected years lived, 20-64",,39.10579985,38.90308858,39.28973261
6,China,1,Males,1999,"Expected years lived, 20-64",,39.290624,39.0997118,39.4613396
6,China,1,Males,2000,"Expected years lived, 20-64",,39.4851432,39.30937692,39.6552517
6,China,1,Males,2001,"Expected years lived, 20-64",,39.64286113,39.47923275,39.81345113
6,China,1,Males,2002,"Expected years lived, 20-64",,39.821769,39.6690298,39.98776947
6,China,1,Males,2003,"Expected years lived, 20-64",,40.03695934,39.88351908,40.18169811
6,China,1,Males,2004,"Expected years lived, 20-64",,40.23542927,40.08201142,40.37214606
6,China,1,Males,2005,"Expected years lived, 20-64",,40.40944549,40.27503764,40.54277225
6,China,1,Males,2006,"Expected years lived, 20-64",,40.5766049,40.44445837,40.70681488
6,China,1,Males,2007,"Expected years lived, 20-64",,40.74299133,40.61792614,40.86545378
6,China,1,Males,2008,"Expected years lived, 20-64",,40.75593897,40.58140816,40.91906583
6,China,1,Males,2009,"Expected years lived, 20-64",,41.02157429,40.90905699,41.12864688
6,China,1,Males,2010,"Expected years lived, 20-64",,41.15324765,41.04830563,41.26217549
6,China,1,Males,2011,"Expected years lived, 20-64",,41.30255124,41.19654022,41.40989424
6,China,1,Males,2012,"Expected years lived, 20-64",,41.44291211,41.33983764,41.54150705
6,China,1,Males,2013,"Expected years lived, 20-64",,41.54635595,41.44373646,41.65154722
6,China,1,Males,2014,"Expected years lived, 20-64",,41.64314389,41.53441245,41.74896969
6,China,1,Males,2015,"Expected years lived, 20-64",,41.71793165,41.60899325,41.82687712
6,China,1,Males,2016,"Expected years lived, 20-64",,41.79118234,41.68134593,41.89925978
6,China,2,Females,1990,"Expected years lived, 20-64",,39.66186631,39.36900773,39.92296109
6,China,2,Females,1991,"Expected years lived, 20-64",,39.76293586,39.49933425,40.01129137
6,China,2,Females,1992,"Expected years lived, 20-64",,39.8963317,39.64563901,40.12747784
6,China,2,Females,1993,"Expected years lived, 20-64",,40.04085046,39.78794148,40.26602257
6,China,2,Females,1994,"Expected years lived, 20-64",,40.18586385,39.95380395,40.400833
6,China,2,Females,1995,"Expected years lived, 20-64",,40.32338483,40.09440028,40.53131653
6,China,2,Females,1996,"Expected years lived, 20-64",,40.46416083,40.26149051,40.65273382
6,China,2,Females,1997,"Expected years lived, 20-64",,40.63480904,40.44489121,40.80614125
6,China,2,Females,1998,"Expected years lived, 20-64",,40.80032053,40.61770962,40.96438393
6,China,2,Females,1999,"Expected years lived, 20-64",,40.98281938,40.81383843,41.13896851
6,China,2,Females,2000,"Expected years lived, 20-64",,41.15519193,40.99600405,41.31351163
6,China,2,Females,2001,"Expected years lived, 20-64",,41.3205808,41.17797132,41.47329464
6,China,2,Females,2002,"Expected years lived, 20-64",,41.49583724,41.35536978,41.63221988
