Country Name,Country Code,Indicator Name,Indicator Code,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,,,,,,,,,,,22.08238983,19.27891922,21.82275963,21.3203907,19.75715065,,14.89785957,18.90070915,,20.78879929,19.03619957,21.53726006,22.14365959,21.74546051,20.63408089,21.87458992,19.61272049,22.85499001,21.36655045,,,,
Afghanistan,AFG,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,,,,,,,,,,,,,,,,,,,,,,,17.0675602,16.04842949,10.35680008,14.10280037,14.46592999,12.50899982,16.21170044,15.66137981,,,
Angola,AGO,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,,,,,,,,,,,6.114679813,,5.255080223,,,,,7.992350101,7.454790115,,,,8.68476963,,,,,,,,,,
Albania,ALB,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,,,,,,,,,,11.15338993,9.624070168,9.682459831,10.13702965,10.58193016,9.886919975,10.57359982,10.70316029,11.35797024,10.93295002,11.17718983,,,,,,12.12390995,,11.31770039,13.59696007,12.39080048,,,
Andorra,AND,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4890995,19.22652054,18.9569397,19.32305908,,
Arab World,ARB,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,,,,,,,,,,,,,,,,,14.74870968,,,,12.48923969,,,,,,,,,,,,
United Arab Emirates,ARE,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,,,,,,,,,15.39877033,,15.62125969,15.87753963,16.22615051,16.35596085,16.44220924,14.35472012,15.13930035,15.8031702,15.50984001,15.10157013,15.74783993,16.02066994,15.04796982,15.1585598,14.51826,14.45792961,13.79932976,13.96331024,13.35554028,13.26391983,,,
Armenia,ARM,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,,,,,,,,,,,,,,,,,,13.64809036,13.57851982,13.46558952,14.26844978,13.45121956,12.40050983,12.59333992,12.36896992,11.13675976,9.367119789,10.65635967,10.19719982,10.40312958,,,
American Samoa,ASM,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,,,,,,,,,,,,12.43941021,,,11.70153999,,,,,,,6.928140163,,,,,,,,,,,
Australia,AUS,"Government expenditure on education, total (% of government expenditure)",EDSPENDPERC,,,,13.24973011,13.35091972,13.59171963,14.06530952,13.20401955,15.01692009,14.29701996,14.77005959,14.24612045,,,,13.36015987,,,,,13.58512974,13.17819977,13.03026962,12.59972,13.42166996,14.32400036,13.48499966,13.17440033,14.04139042,13.88379002,14.07971954,13.77106953,13.61341,,,
